"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","Q_RecaptchaScore","meta_info_Browser","meta_info_Version","meta_info_Operating.System","meta_info_Resolution","do_you_consent","Q16","Q20","X1_Q6","X2_Q6","X3_Q6","X4_Q6","X5_Q6","X6_Q6","X7_Q6","X8_Q6","X9_Q6","X10_Q6","X11_Q6","X12_Q6","X13_Q6","X14_Q6","X15_Q6","X16_Q6","X17_Q6","X18_Q6","X19_Q6","X20_Q6","X1_Q8","X2_Q8","X3_Q8","X4_Q8","X5_Q8","X6_Q8","X7_Q8","X8_Q8","X9_Q8","X10_Q8","X11_Q8","X12_Q8","X13_Q8","X14_Q8","seed","PROLIFIC_PID","STUDY_ID","SESSION_ID","total_trials","budget","TotalTrialsSingle","TotalTrialsMultiple","COMP_CODE","trial_index_map_single","trial_index_map_multiple","vis","phrasing","FL_9_DO"
"2024-09-12 15:27:52","2024-09-12 15:40:53","IP Address","100","780","True","2024-09-12 15:40:54","R_11unHErmBF3YLTR","anonymous","EN","1","Chrome","128.0.0.0","Windows NT 10.0","1536x864","Yes","50","70","No","Yes","No","No","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","Yes","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","Yes","3179","954e3943","66e3484fc1e6f6e4818b08d0","66e35cc19e921b7d324d1a5b","30","1000","18","12","CK3LYXU8","[9,3,15,17,6,5,7,13,102,18,10,8,101,1,2,14,4,12,16,11]","[9,6,102,3,5,4,12,101,1,10,2,8,11,7]","ensembles","reliable","FL_26"
"2024-09-12 15:39:51","2024-09-12 15:44:37","IP Address","100","286","True","2024-09-12 15:44:38","R_5KmaHtKQD2TUMMz","anonymous","EN","1","Firefox","129.0","Macintosh","1440x900","Yes","30","70","No","Yes","No","No","No","Yes","Yes","No","No","No","Yes","No","No","Yes","Yes","No","No","Yes","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","4810","41ef3f46","66e3484fc1e6f6e4818b08d0","66e35f97fbea570bcd437ced","30","2000","18","12","C1OSMFWY","[17,5,13,101,8,2,3,10,9,15,4,16,14,1,102,18,11,6,7,12]","[12,5,101,10,2,3,102,6,1,9,7,11,4,8]","ensembles","reliable","FL_26"
"2024-09-12 15:34:06","2024-09-12 15:47:08","IP Address","100","782","True","2024-09-12 15:47:09","R_3iX4e0JGgH6dVZ6","anonymous","EN","1","Firefox","130.0","Windows NT 10.0","1707x1067","Yes","30","40","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No","Yes","Yes","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","Yes","No","No","Yes","No","No","3549","49ab4ff8","66e3484fc1e6f6e4818b08d0","66e35e41cc0164a5a6340ab1","30","-10000","18","12","CK3LYXU8","[16,3,12,7,5,13,102,15,14,10,2,9,8,101,18,4,11,6,1,17]","[8,3,102,5,9,6,10,11,101,2,7,4,1,12]","ensembles","equally_reliable","FL_11"
"2024-09-12 15:28:31","2024-09-12 15:47:26","IP Address","100","1135","True","2024-09-12 15:47:26","R_3do2jVklAStGjrO","anonymous","EN","1","Chrome","128.0.0.0","Windows NT 10.0","1536x864","Yes","30%","70%","No","No","Yes","No","No","No","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","Yes","205","99ec06b5","66e3484fc1e6f6e4818b08d0","66e35c9ba368fd488baf1923","30","11000","18","12","CK3LYXU8","[15,18,102,14,12,8,101,2,5,4,9,13,6,7,3,17,11,16,10,1]","[8,12,101,5,9,3,4,102,2,6,11,10,7,1]","ensembles","equally_reliable","FL_11"
"2024-09-12 15:39:11","2024-09-12 15:47:32","IP Address","100","500","True","2024-09-12 15:47:33","R_3LMPaW6TRsgSv0j","anonymous","EN","1","Edge","128.0.0.0","Windows NT 10.0","1920x1080","Yes","30","70","No","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","No","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","Yes","No","No","Yes","Yes","3608","18c49769","66e3484fc1e6f6e4818b08d0","66e35f785c8e43a2e29cefd3","30","9000","18","12","C1OSMFWY","[12,9,102,8,11,14,10,18,15,3,5,13,101,6,7,4,16,17,1,2]","[7,5,9,8,6,101,3,4,12,102,10,11,1,2]","ensembles","equally_reliable","FL_11"
"2024-09-12 15:39:23","2024-09-12 15:47:41","IP Address","100","498","True","2024-09-12 15:47:41","R_6ffBEdoDwh9MP1n","anonymous","EN","1","Chrome","128.0.0.0","Windows NT 10.0","1600x900","Yes","30","70","No","No","No","Yes","Yes","No","No","No","No","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","5311","2f757282","66e3484fc1e6f6e4818b08d0","66e35f80c1e6f6e4818b0d34","30","4000","18","12","C1OSMFWY","[1,13,12,7,102,15,17,14,16,5,101,11,6,3,4,18,2,8,10,9]","[9,4,12,101,8,11,2,3,10,102,1,5,7,6]","ensembles","equally_reliable","FL_11"
"2024-09-12 15:40:06","2024-09-12 15:48:07","IP Address","100","481","True","2024-09-12 15:48:07","R_3b3EnktfqaDkj6h","anonymous","EN","1","Chrome","128.0.0.0","Windows NT 10.0","1920x1080","Yes","30","70","Yes","No","Yes","No","No","No","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","No","Yes","9509","73f667fc","66e3484fc1e6f6e4818b08d0","66e35fa61e500dfed05e747e","30","-2000","18","12","C1OSMFWY","[6,10,4,101,8,16,17,18,15,11,14,13,102,9,1,2,5,3,12,7]","[9,10,4,6,102,7,12,11,101,1,3,2,8,5]","ensembles","equally_reliable","FL_11"
"2024-09-12 15:39:58","2024-09-12 15:52:36","IP Address","100","757","True","2024-09-12 15:52:36","R_7ocoTlyBdLuXC5e","anonymous","EN","1","Chrome","128.0.0.0","Windows NT 10.0","1920x1080","Yes","30","70","Yes","Yes","No","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","Yes","No","No","Yes","No","No","No","Yes","No","Yes","No","No","No","Yes","No","No","No","Yes","No","5254","9b54f5cf","66e3484fc1e6f6e4818b08d0","66e35fa8123b369af3722a48","30","7000","18","12","C1OSMFWY","[4,5,7,3,15,16,9,8,14,13,101,6,10,102,18,2,12,11,1,17]","[6,8,4,9,102,3,5,11,2,10,101,7,1,12]","ensembles","reliable","FL_26"
"2024-09-12 15:32:47","2024-09-12 15:54:07","IP Address","100","1279","True","2024-09-12 15:54:08","R_37eRVI5qPTtVrkR","anonymous","EN","1","Chrome","128.0.0.0","Windows NT 10.0","1920x1080","Yes","30","70","No","No","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","No","No","Yes","1373","601f5af0","66e3484fc1e6f6e4818b08d0","66e35ca986c5a532a82a1b74","30","7000","18","12","CK3LYXU8","[18,14,8,13,17,7,102,9,15,5,4,12,101,1,16,6,3,10,11,2]","[3,5,102,8,9,11,101,12,10,4,2,6,7,1]","ensembles","reliable","FL_26"
"2024-09-12 15:52:52","2024-09-12 15:57:25","IP Address","100","273","True","2024-09-12 15:57:26","R_56lpTD5rJMOLptQ","anonymous","EN","1","Chrome","128.0.0.0","Windows NT 10.0","1920x1080","Yes","30","70","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes","No","Yes","No","No","Yes","No","Yes","Yes","Yes","1455","81e4dd89","66e3484fc1e6f6e4818b08d0","66e362aad8803bf1db7fa61b","30","6000","18","12","C1OSMFWY","[12,17,18,15,8,101,11,16,6,102,3,10,14,7,5,4,13,9,1,2]","[7,5,11,10,102,12,4,9,101,3,8,6,1,2]","ensembles","reliable","FL_26"
"2024-09-12 15:53:22","2024-09-12 15:58:03","IP Address","100","280","True","2024-09-12 15:58:03","R_6rIcOrnnSFh8ksJ","anonymous","EN","1","Chrome","127.0.0.0","Macintosh","1440x900","Yes","30","70","No","Yes","No","No","Yes","No","Yes","No","No","No","No","No","No","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","2956","e3760e78","66e3484fc1e6f6e4818b08d0","66e362cb6d3cb519889e7e3e","30","-4000","18","12","C1OSMFWY","[16,4,8,12,6,9,7,14,101,17,11,10,13,1,102,2,3,15,18,5]","[3,6,9,11,5,102,7,8,1,2,101,10,12,4]","ensembles","reliable","FL_26"
"2024-09-12 15:54:17","2024-09-12 15:58:12","IP Address","100","235","True","2024-09-12 15:58:12","R_7CpGlXDm6dtsxpE","anonymous","EN","1","Edge","128.0.0.0","Windows NT 10.0","1920x1080","Yes","30","70","No","No","Yes","Yes","No","No","No","No","Yes","No","No","Yes","No","Yes","No","No","Yes","No","No","No","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","7097","3fcec4a5","66e3484fc1e6f6e4818b08d0","66e36303ed2810a1274c8c0b","30","-2000","18","12","C1OSMFWY","[12,16,102,2,11,8,13,10,4,101,6,5,18,3,7,14,1,17,9,15]","[3,5,7,12,101,9,2,102,4,8,1,11,6,10]","ensembles","reliable","FL_26"
"2024-09-12 15:52:43","2024-09-12 15:58:30","IP Address","100","347","True","2024-09-12 15:58:31","R_1HUncW79AeAnpni","anonymous","EN","1","Chrome","128.0.0.0","Windows NT 10.0","1920x1080","Yes","30","70","Yes","No","No","No","Yes","Yes","Yes","No","No","Yes","No","No","Yes","No","No","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","Yes","No","No","9261","42215322","66e3484fc1e6f6e4818b08d0","66e362a4d12fb46d83d7f2e8","30","5000","18","12","C1OSMFWY","[6,13,11,12,102,7,4,5,10,9,16,17,8,101,18,2,3,1,14,15]","[7,6,3,101,5,8,4,11,102,12,2,1,9,10]","ensembles","equally_reliable","FL_11"
"2024-09-12 15:53:31","2024-09-12 15:58:33","IP Address","100","302","True","2024-09-12 15:58:34","R_71mLDtqKDeWz4Nk","anonymous","EN","1","Chrome","128.0.0.0","Macintosh","1440x900","Yes","30","70","No","Yes","No","Yes","No","No","No","No","No","Yes","No","Yes","Yes","No","No","No","No","No","Yes","No","No","No","Yes","No","Yes","No","No","Yes","Yes","Yes","No","No","Yes","No","7013","1f3c51ae","66e3484fc1e6f6e4818b08d0","66e362d3a368fd488baf1a42","30","-2000","18","12","C1OSMFWY","[9,4,10,2,16,101,11,18,17,1,8,102,3,7,6,13,15,14,5,12]","[6,5,1,11,2,12,101,4,7,102,10,9,3,8]","ensembles","reliable","FL_26"
"2024-09-12 15:52:40","2024-09-12 15:59:14","IP Address","100","394","True","2024-09-12 15:59:14","R_534dnqiQoxONLpn","anonymous","EN","1","Opera","112.0.0.0","Windows NT 10.0","1536x864","Yes","30","70","No","No","No","No","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","No","5095","c1fe9129","66e3484fc1e6f6e4818b08d0","66e362990f8bb584bd5b8893","30","4000","18","12","C1OSMFWY","[15,18,101,12,10,9,14,11,4,3,8,1,102,13,6,2,7,5,16,17]","[8,4,9,6,1,7,102,11,2,5,101,3,10,12]","ensembles","reliable","FL_26"
"2024-09-12 15:53:33","2024-09-12 15:59:18","IP Address","100","344","True","2024-09-12 15:59:18","R_7Jy38TV8ERbVeKf","anonymous","EN","1","Chrome","128.0.0.0","Windows NT 10.0","1920x1080","Yes","30","70","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","No","Yes","Yes","No","No","Yes","No","No","No","No","Yes","No","Yes","No","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes","2301","9fd8e625","66e3484fc1e6f6e4818b08d0","66e362d0808ac76c6449529c","30","-11000","18","12","C1OSMFWY","[2,9,17,102,14,16,8,7,1,101,4,13,15,10,5,11,12,3,18,6]","[9,1,11,102,10,8,5,3,101,6,7,2,12,4]","ensembles","equally_reliable","FL_11"
"2024-09-12 15:53:47","2024-09-12 15:59:22","IP Address","100","334","True","2024-09-12 15:59:22","R_3Nq3lg7fILSfk8l","anonymous","EN","1","Chrome","128.0.0.0","Windows NT 10.0","2048x1152","Yes","30","70","No","No","No","No","No","Yes","Yes","Yes","Yes","No","No","No","Yes","No","Yes","No","Yes","Yes","No","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","8921","d436d45f","66e3484fc1e6f6e4818b08d0","66e362e3331d0d141bd06525","30","10000","18","12","C1OSMFWY","[14,9,11,10,16,102,3,5,1,15,17,101,8,12,2,18,4,6,13,7]","[11,12,2,7,101,8,6,1,102,10,3,4,9,5]","ensembles","equally_reliable","FL_11"
